city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Newark,VirusShare_f0e8cfe1c75bff0c608d4f658d792990,zbot,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Dallas,VirusShare_f0e8cfe1c75bff0c608d4f658d792990,zbot,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_f0e8cfe1c75bff0c608d4f658d792990,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f0e8cfe1c75bff0c608d4f658d792990,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b1683985873085fe4bfc5d8f45e906d0,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b1683985873085fe4bfc5d8f45e906d0,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_b1683985873085fe4bfc5d8f45e906d0,zbot,United States,2014,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_3abf42f8e843e4f0f34314d15c6b6b50,zbot,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_3abf42f8e843e4f0f34314d15c6b6b50,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_3abf42f8e843e4f0f34314d15c6b6b50,zbot,United States,2014,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_3abf42f8e843e4f0f34314d15c6b6b50,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_dc15ceee032dbd218cbe7129b2d58a50,zbot,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_dc15ceee032dbd218cbe7129b2d58a50,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_dc15ceee032dbd218cbe7129b2d58a50,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db5069a28e9fd91a303a8ba166ad8ac0,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_db5069a28e9fd91a303a8ba166ad8ac0,zbot,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_db5069a28e9fd91a303a8ba166ad8ac0,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_78e62c5c7adc415647dd52a12655f630,zbot,United States,2015,-96.797,US,USA,96.16.7.83,32.7767,0
Mountain View,VirusShare_78e62c5c7adc415647dd52a12655f630,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7aba67d64452402bc01fb311ea175290,zbot,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_7aba67d64452402bc01fb311ea175290,zbot,United States,2014,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_7aba67d64452402bc01fb311ea175290,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7aba67d64452402bc01fb311ea175290,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cbd6d9aa751f28170107a0d1527e4770,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbd6d9aa751f28170107a0d1527e4770,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Dallas,VirusShare_cbd00b0c822f629a62089defcf3bdfd4,zbot,United States,2014,-96.797,US,USA,23.67.253.171,32.7767,0
Redmond,VirusShare_cbd00b0c822f629a62089defcf3bdfd4,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cbd00b0c822f629a62089defcf3bdfd4,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_701c1633893017d6ba8b1ad132f1679b,zbot,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_701c1633893017d6ba8b1ad132f1679b,zbot,United States,2014,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_701c1633893017d6ba8b1ad132f1679b,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_701c1633893017d6ba8b1ad132f1679b,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_e1c5a023df79d9f1c5d2cc8000f43952,zbot,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_e1c5a023df79d9f1c5d2cc8000f43952,zbot,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_e1c5a023df79d9f1c5d2cc8000f43952,zbot,United States,2015,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_e1c5a023df79d9f1c5d2cc8000f43952,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_74ec0af96f0856a917550299041af41c,zbot,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_74ec0af96f0856a917550299041af41c,zbot,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_74ec0af96f0856a917550299041af41c,zbot,United States,2015,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_74ec0af96f0856a917550299041af41c,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cade233c6814821ee63da3c5c8fa3398,zbot,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cade233c6814821ee63da3c5c8fa3398,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_7361e9f30acd12573ba0653a7563e2b0,zbot,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Dallas,VirusShare_7361e9f30acd12573ba0653a7563e2b0,zbot,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_7361e9f30acd12573ba0653a7563e2b0,zbot,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7361e9f30acd12573ba0653a7563e2b0,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_777e9a79226af4d97f45666a5e2524e0,zbot,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_777e9a79226af4d97f45666a5e2524e0,zbot,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_777e9a79226af4d97f45666a5e2524e0,zbot,United States,2015,-96.797,US,USA,184.24.98.184,32.7767,0
Mountain View,VirusShare_777e9a79226af4d97f45666a5e2524e0,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bd110c6583e582ddfb6c02c2adb677fa,zbot,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_bd110c6583e582ddfb6c02c2adb677fa,zbot,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_bd110c6583e582ddfb6c02c2adb677fa,zbot,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bd110c6583e582ddfb6c02c2adb677fa,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_f6f12ca71147b9f26f1704a2300c0a5e,zbot,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f6f12ca71147b9f26f1704a2300c0a5e,zbot,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_f6f12ca71147b9f26f1704a2300c0a5e,zbot,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f6f12ca71147b9f26f1704a2300c0a5e,zbot,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb03a074236d96885a8166c370b9b3f0,zbot,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bb03a074236d96885a8166c370b9b3f0,zbot,United States,2014,-96.797,US,USA,96.16.7.83,32.7767,0
Redmond,VirusShare_bb03a074236d96885a8166c370b9b3f0,zbot,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bb03a074236d96885a8166c370b9b3f0,zbot,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
