city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_e295fa27978c287939b3b59c090bae13,zeroaccess,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_e295fa27978c287939b3b59c090bae13,zeroaccess,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_e295fa27978c287939b3b59c090bae13,zeroaccess,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_bd22f27a780ca6659c85e93ef7acb809,zeroaccess,United States,2014,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_bd22f27a780ca6659c85e93ef7acb809,zeroaccess,United States,2014,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bd22f27a780ca6659c85e93ef7acb809,zeroaccess,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb5fe49569940835656a249b2e43e073,zeroaccess,United States,2014,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb5fe49569940835656a249b2e43e073,zeroaccess,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_bb5fe49569940835656a249b2e43e073,zeroaccess,United States,2014,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_bb5fe49569940835656a249b2e43e073,zeroaccess,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Chicago,VirusShare_bf2e65552a9ebb6f8d796ddb42e03070,zeroaccess,United States,2014,-87.6298,US,USA,23.212.53.214,41.8781,0
Redmond,VirusShare_bf2e65552a9ebb6f8d796ddb42e03070,zeroaccess,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bf2e65552a9ebb6f8d796ddb42e03070,zeroaccess,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Mountain View,VirusShare_ca9f62a204bbce06df351972950e452d,zeroaccess,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_db4f27337546712a2decd2d1c3599a70,zeroaccess,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_db4f27337546712a2decd2d1c3599a70,zeroaccess,United States,2014,-77.4874,US,USA,184.26.93.81,39.0438,0
Mountain View,VirusShare_db4f27337546712a2decd2d1c3599a70,zeroaccess,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
