city,name,family_name,country,year,longitude,iso-2,iso-3,ip,latitude,value
Redmond,VirusShare_f216dbe2bd58d85f96554bc0ccec81d9,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_f216dbe2bd58d85f96554bc0ccec81d9,zusy,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_f216dbe2bd58d85f96554bc0ccec81d9,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_f216dbe2bd58d85f96554bc0ccec81d9,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_4e7d5f291d164685b2fb9b1190a7e81f,zusy,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_4e7d5f291d164685b2fb9b1190a7e81f,zusy,United States,2015,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_4e7d5f291d164685b2fb9b1190a7e81f,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_4e7d5f291d164685b2fb9b1190a7e81f,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_cad90a49b7e86bf0b897f1538c02ea60,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_cad90a49b7e86bf0b897f1538c02ea60,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Ashburn,VirusShare_cad90a49b7e86bf0b897f1538c02ea60,zusy,United States,2015,-77.4874,US,USA,184.26.93.58,39.0438,0
Redmond,VirusShare_308e995f356461e2e12441c978e210af,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_308e995f356461e2e12441c978e210af,zusy,United States,2017,-96.797,US,USA,23.67.252.32,32.7767,0
Redmond,VirusShare_308e995f356461e2e12441c978e210af,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_308e995f356461e2e12441c978e210af,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_7af77d1655b32e148eefb1e0369dd7e0,zusy,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_7af77d1655b32e148eefb1e0369dd7e0,zusy,United States,2015,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_7af77d1655b32e148eefb1e0369dd7e0,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_7af77d1655b32e148eefb1e0369dd7e0,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_6f8b75ba54de43f9906cd5aef5a1ea4d,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_6f8b75ba54de43f9906cd5aef5a1ea4d,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_6f8b75ba54de43f9906cd5aef5a1ea4d,zusy,United States,2017,-96.797,US,USA,23.67.252.18,32.7767,0
Mountain View,VirusShare_6f8b75ba54de43f9906cd5aef5a1ea4d,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_a3208ea9dace3ba6bf5dec4e92700c69,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_a3208ea9dace3ba6bf5dec4e92700c69,zusy,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_a3208ea9dace3ba6bf5dec4e92700c69,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_a3208ea9dace3ba6bf5dec4e92700c69,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_019afecbf84224e64ed919a19dc9e88e,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_019afecbf84224e64ed919a19dc9e88e,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_019afecbf84224e64ed919a19dc9e88e,zusy,United States,2017,-96.797,US,USA,23.67.252.11,32.7767,0
Mountain View,VirusShare_019afecbf84224e64ed919a19dc9e88e,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b30841eb15d04dd5b2d5ad6e100d3af0,zusy,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b30841eb15d04dd5b2d5ad6e100d3af0,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_b30841eb15d04dd5b2d5ad6e100d3af0,zusy,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_b30841eb15d04dd5b2d5ad6e100d3af0,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3928c6f1396c6834a2425f6ab671e2b5,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Atlanta,VirusShare_3928c6f1396c6834a2425f6ab671e2b5,zusy,United States,2017,-84.388,US,USA,23.72.137.59,33.749,0
Redmond,VirusShare_3928c6f1396c6834a2425f6ab671e2b5,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3928c6f1396c6834a2425f6ab671e2b5,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_8479aaab2508751b62fe29dabe9a49cc,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_8479aaab2508751b62fe29dabe9a49cc,zusy,United States,2017,-96.797,US,USA,23.218.156.11,32.7767,0
Redmond,VirusShare_8479aaab2508751b62fe29dabe9a49cc,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_8479aaab2508751b62fe29dabe9a49cc,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_377e5e6ad9d5d61ad1ac4ecdcd37ae40,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_377e5e6ad9d5d61ad1ac4ecdcd37ae40,zusy,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_377e5e6ad9d5d61ad1ac4ecdcd37ae40,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_377e5e6ad9d5d61ad1ac4ecdcd37ae40,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_15b26e86b50ec9a0eabf9da624d8764c,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_15b26e86b50ec9a0eabf9da624d8764c,zusy,United States,2017,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_15b26e86b50ec9a0eabf9da624d8764c,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_15b26e86b50ec9a0eabf9da624d8764c,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b6e9466a2080ef8e6b441861cfea5250,zusy,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b6e9466a2080ef8e6b441861cfea5250,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Atlanta,VirusShare_b6e9466a2080ef8e6b441861cfea5250,zusy,United States,2015,-84.388,US,USA,23.72.137.81,33.749,0
Mountain View,VirusShare_b6e9466a2080ef8e6b441861cfea5250,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bb4144c8cb9e71e1a03cc6366f71b770,zusy,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_bb4144c8cb9e71e1a03cc6366f71b770,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_bb4144c8cb9e71e1a03cc6366f71b770,zusy,United States,2015,-77.0369,US,USA,23.2.17.169,38.9072,0
Mountain View,VirusShare_bb4144c8cb9e71e1a03cc6366f71b770,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_e0c049608b8abec23ddb8f79c2edce97,zusy,United States,2016,-74.1724,US,USA,157.56.144.215,40.7357,0
Washington,VirusShare_e0c049608b8abec23ddb8f79c2edce97,zusy,United States,2016,-77.0369,US,USA,23.2.17.169,38.9072,0
Redmond,VirusShare_e0c049608b8abec23ddb8f79c2edce97,zusy,United States,2016,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_e0c049608b8abec23ddb8f79c2edce97,zusy,United States,2016,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_bada1b5ab4f2d10af6481fb679539280,zusy,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_bada1b5ab4f2d10af6481fb679539280,zusy,United States,2015,-96.797,US,USA,96.16.7.80,32.7767,0
Redmond,VirusShare_bada1b5ab4f2d10af6481fb679539280,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_bada1b5ab4f2d10af6481fb679539280,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Newark,VirusShare_be03dd76d1cf23522ae7bcfefbf065a0,zusy,United States,2015,-74.1724,US,USA,157.56.144.215,40.7357,0
Redmond,VirusShare_be03dd76d1cf23522ae7bcfefbf065a0,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Washington,VirusShare_be03dd76d1cf23522ae7bcfefbf065a0,zusy,United States,2015,-77.0369,US,USA,184.25.63.41,38.9072,0
Mountain View,VirusShare_be03dd76d1cf23522ae7bcfefbf065a0,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_3fbfe173204b2b8a10e09ed33f17b1fd,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Washington,VirusShare_3fbfe173204b2b8a10e09ed33f17b1fd,zusy,United States,2017,-77.0369,US,USA,23.2.17.246,38.9072,0
Redmond,VirusShare_3fbfe173204b2b8a10e09ed33f17b1fd,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_3fbfe173204b2b8a10e09ed33f17b1fd,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b236caff9e9f6c2556f41252e29b1bf0,zusy,United States,2014,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b236caff9e9f6c2556f41252e29b1bf0,zusy,United States,2014,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b8da068549d5c5dae05688e63628a0c0,zusy,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Dallas,VirusShare_b8da068549d5c5dae05688e63628a0c0,zusy,United States,2015,-96.797,US,USA,96.17.177.24,32.7767,0
Redmond,VirusShare_b8da068549d5c5dae05688e63628a0c0,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Mountain View,VirusShare_b8da068549d5c5dae05688e63628a0c0,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b7a833c74fc5da4e0519721ec8328e13,zusy,United States,2017,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_b7a833c74fc5da4e0519721ec8328e13,zusy,United States,2017,-122.128,US,USA,131.107.255.255,47.6393,0
Ashburn,VirusShare_b7a833c74fc5da4e0519721ec8328e13,zusy,United States,2017,-77.4874,US,USA,184.26.93.48,39.0438,0
Mountain View,VirusShare_b7a833c74fc5da4e0519721ec8328e13,zusy,United States,2017,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_7826d673d5d97a24f1cf43b89e97bc30,zusy,United States,2015,-122.139,US,USA,65.55.158.118,47.6475,0
Redmond,VirusShare_7826d673d5d97a24f1cf43b89e97bc30,zusy,United States,2015,-122.128,US,USA,131.107.255.255,47.6393,0
Dallas,VirusShare_7826d673d5d97a24f1cf43b89e97bc30,zusy,United States,2015,-96.797,US,USA,23.218.156.26,32.7767,0
Mountain View,VirusShare_7826d673d5d97a24f1cf43b89e97bc30,zusy,United States,2015,-122.085,US,USA,8.8.8.8,37.4229,0
Redmond,VirusShare_b43985f08893272efb6c89293acf87d0,zusy,United States,2016,-122.139,US,USA,65.55.158.118,47.6475,0
